Name,vegetables,unknown,dairy,human,animal,insect,freeliving
L_acetotolerans_BM-LA14527,1,0,0,0,0,0,0
L_acetotolerans_CN247,1,0,0,0,0,0,0
L_acetotolerans_DSM_20749,1,0,0,0,0,0,0
L_acetotolerans_LA1,1,0,0,0,0,0,0
L_acetotolerans_LA749,1,0,0,0,0,0,0
L_acetotolerans_LJ49,1,0,0,0,0,0,0
L_acetotolerans_NBRC_13120,1,0,0,0,0,0,0
L_acetotolerans_UBA10580,1,0,0,0,0,0,0
L_acetotolerans_UBA10954,0,0,1,0,0,0,0
L_acetotolerans_UBA10993,0,0,0,0,0,0,1
L_acidophilus_5460,0,0,0,1,0,0,0
L_acidophilus_ATCC_53544,0,0,0,1,0,0,0
L_acidophilus_DSM_20079,0,0,0,1,0,0,0
L_acidophilus_FSI4,0,0,1,0,0,0,0
L_acidophilus_JBNU_C5,0,0,0,0,1,0,0
L_acidophilus_L-55,0,0,0,1,0,0,0
L_acidophilus_LA-G80-111,0,0,0,1,0,0,0
L_acidophilus_LA1,0,0,0,1,0,0,0
L_acidophilus_MGYG_HGUT_02379,0,0,0,1,0,0,0
L_acidophilus_NBIMCC_8242_180,1,0,0,0,0,0,0
L_acidophilus_NC55,0,0,0,1,0,0,0
L_acidophilus_NCFM,0,1,0,0,0,0,0
L_acidophilus_QAULAN51,0,0,1,0,0,0,0
L_acidophilus_SSLB4,0,0,0,0,1,0,0
L_acidophilus_YT1,0,0,0,0,1,0,0
L_acidophilus_s-4,0,1,0,0,0,0,0
L_amylolyticus_L5,1,0,0,0,0,0,0
L_amylolyticus_L6,1,0,0,0,0,0,0
L_amylolyticus_LA664,1,0,0,0,0,0,0
L_amylovorus_1394N20,0,0,0,0,1,0,0
L_amylovorus_30SC,0,0,0,0,1,0,0
L_amylovorus_AF08-3,0,0,0,1,0,0,0
L_amylovorus_DSM_16698,1,0,0,0,0,0,0
L_amylovorus_DSM_20531,0,0,0,0,1,0,0
L_amylovorus_GRL1118,0,0,0,0,1,0,0
L_amylovorus_JBD401,0,0,1,0,0,0,0
L_amylovorus_L4,0,0,0,0,1,0,0
L_amylovorus_MGYG_HGUT_00161,0,0,0,1,0,0,0
L_amylovorus_MT30,1,0,0,0,0,0,0
L_amylovorus_PMRA3,0,0,0,0,1,0,0
L_amylovorus_S1,0,0,0,0,1,0,0
L_apis_ESL0185,0,0,0,0,1,0,0
L_apis_R-53131,0,1,0,0,0,0,0
L_bombicola_BI-4G,0,0,0,0,0,1,0
L_bombicola_L5-31,0,0,0,0,0,1,0
L_bombicola_OCC3,0,0,0,0,0,1,0
L_bombicola_R-53102,0,1,0,0,0,0,0
L_crispatus_0421_295_1_1_MRS10_S843-bin_1,0,0,0,1,0,0,0
L_crispatus_0421_295_1_1_MRS11_S423-bin_1,0,0,0,1,0,0,0
L_crispatus_0421_295_1_1_MRS12_S851-bin_1,0,0,0,1,0,0,0
L_crispatus_0421_295_1_1_MRS2_S399-bin_1,0,0,0,1,0,0,0
L_crispatus_0421_295_1_1_MRS3_S803-bin_2,0,0,0,1,0,0,0
L_crispatus_0421_295_1_1_MRS4_S811-bin_1,0,0,0,1,0,0,0
L_crispatus_0421_295_1_1_MRS5_S819-bin_2,0,0,0,1,0,0,0
L_crispatus_0421_295_1_1_MRS6_S407-bin_1,0,0,0,1,0,0,0
L_crispatus_0421_295_1_2_MRS10_S804-bin_2,0,0,0,1,0,0,0
L_crispatus_0421_295_1_2_MRS1_S859-bin_1,0,0,0,1,0,0,0
L_crispatus_0421_295_1_2_MRS2_S772-bin_1,0,0,0,1,0,0,0
L_crispatus_0421_295_1_2_MRS3_S780-bin_2,0,0,0,1,0,0,0
L_crispatus_0421_295_1_2_MRS5_S431-bin_1,0,0,0,1,0,0,0
L_crispatus_0421_295_1_2_MRS6_S438-bin_1,0,0,0,1,0,0,0
L_crispatus_0421_295_1_2_MRS7_S445-bin_1,0,0,0,1,0,0,0
L_crispatus_0421_295_1_2_MRS8_S452-bin_1,0,0,0,1,0,0,0
L_crispatus_0422_293_1_1_MRS10_S408-bin_1,0,0,0,1,0,0,0
L_crispatus_0795_578_1_1_MRS1_S862-bin_1,0,0,0,1,0,0,0
L_crispatus_0795_578_1_1_MRS5_S810-bin_1,0,0,0,1,0,0,0
L_crispatus_0795_578_1_1_MRS6_S818-bin_1,0,0,0,1,0,0,0
L_crispatus_0795_578_1_1_MRSI8_S902-bin_1,0,0,0,1,0,0,0
L_crispatus_0872_642_1_1_MRS5_S773-bin_1,0,0,0,1,0,0,0
L_crispatus_1D,0,0,0,0,1,0,0
L_crispatus_233_S810-bin_1,0,0,0,1,0,0,0
L_crispatus_AB70,0,0,0,1,0,0,0
L_crispatus_ATCC_33820,0,0,0,1,0,0,0
L_crispatus_B4,0,0,0,1,0,0,0
L_crispatus_C037,0,0,0,1,0,0,0
L_crispatus_C25,0,0,0,0,1,0,0
L_crispatus_CG-12,0,0,0,0,1,0,0
L_crispatus_CM2261_MRS3_S774-bin_1,0,0,0,1,0,0,0
L_crispatus_CM2292_MRS1_S784-bin_1,0,0,0,1,0,0,0
L_crispatus_CM_A01_S769-bin_1,0,0,0,1,0,0,0
L_crispatus_CM_A02_S777-bin_1,0,0,0,1,0,0,0
L_crispatus_CM_A03_S785-bin_1,0,0,0,1,0,0,0
L_crispatus_CM_A04_S793-bin_1,0,0,0,1,0,0,0
L_crispatus_CM_A06_S809-bin_1,0,0,0,1,0,0,0
L_crispatus_CM_A08_S825-bin_2,0,0,0,1,0,0,0
L_crispatus_CM_B01_S770-bin_1,0,0,0,1,0,0,0
L_crispatus_CM_B02_S778-bin_1,0,0,0,1,0,0,0
L_crispatus_CM_B03_S786-bin_1,0,0,0,1,0,0,0
L_crispatus_CM_B04_S794-bin_1,0,0,0,1,0,0,0
L_crispatus_CM_B07_S818-bin_1,0,0,0,1,0,0,0
L_crispatus_CM_B09_S834-bin_1,0,0,0,1,0,0,0
L_crispatus_CM_B12_S858-bin_1,0,0,0,1,0,0,0
L_crispatus_CM_C01_S771-bin_1,0,0,0,1,0,0,0
L_crispatus_CM_C03_S787-bin_2,0,0,0,1,0,0,0
L_crispatus_CM_C04_S795-bin_1,0,0,0,1,0,0,0
L_crispatus_CM_C05_S803-bin_1,0,0,0,1,0,0,0
L_crispatus_CM_C07_S819-bin_2,0,0,0,1,0,0,0
L_crispatus_CM_D02_S780-bin_1,0,0,0,1,0,0,0
L_crispatus_CM_D04_S796-bin_1,0,0,0,1,0,0,0
L_crispatus_CM_D05_S804-bin_1,0,0,0,1,0,0,0
L_crispatus_CM_D07_S820-bin_2,0,0,0,1,0,0,0
L_crispatus_CM_D08_S828-bin_2,0,0,0,1,0,0,0
L_crispatus_CM_D09_S836-bin_1,0,0,0,1,0,0,0
L_crispatus_CM_D10_S844-bin_2,0,0,0,1,0,0,0
L_crispatus_CM_D11_S852-bin_1,0,0,0,1,0,0,0
L_crispatus_CM_E03_S789-bin_1,0,0,0,1,0,0,0
L_crispatus_CM_E04_S797-bin_1,0,0,0,1,0,0,0
L_crispatus_CM_E07_S821-bin_1,0,0,0,1,0,0,0
L_crispatus_CM_E08_S829-bin_1,0,0,0,1,0,0,0
L_crispatus_CM_E09_S837-bin_2,0,0,0,1,0,0,0
L_crispatus_CM_E10_S845-bin_1,0,0,0,1,0,0,0
L_crispatus_CM_F02_S782-bin_2,0,0,0,1,0,0,0
L_crispatus_CM_F04_S798-bin_1,0,0,0,1,0,0,0
L_crispatus_CM_F08_S830-bin_1,0,0,0,1,0,0,0
L_crispatus_CM_F09_S838-bin_1,0,0,0,1,0,0,0
L_crispatus_CM_F10_S846-bin_1,0,0,0,1,0,0,0
L_crispatus_CM_G02_S783-bin_1,0,0,0,1,0,0,0
L_crispatus_CM_G03_S791-bin_2,0,0,0,1,0,0,0
L_crispatus_CM_G04_S799-bin_2,0,0,0,1,0,0,0
L_crispatus_CM_G06_S815-bin_2,0,0,0,1,0,0,0
L_crispatus_CM_G07_S823-bin_1,0,0,0,1,0,0,0
L_crispatus_CM_G08_S831-bin_2,0,0,0,1,0,0,0
L_crispatus_CM_G10_S847-bin_1,0,0,0,1,0,0,0
L_crispatus_CM_G11_S855-bin_1,0,0,0,1,0,0,0
L_crispatus_CM_G12_S863-bin_1,0,0,0,1,0,0,0
L_crispatus_CM_H01_S776-bin_1,0,0,0,1,0,0,0
L_crispatus_CM_H02_S784-bin_1,0,0,0,1,0,0,0
L_crispatus_CM_H04_S800-bin_1,0,0,0,1,0,0,0
L_crispatus_CM_H05_S808-bin_2,0,0,0,1,0,0,0
L_crispatus_CM_H07_S824-bin_1,0,0,0,1,0,0,0
L_crispatus_CM_H09_S840-bin_1,0,0,0,1,0,0,0
L_crispatus_CO3MRSI1,0,0,0,1,0,0,0
L_crispatus_Chicken_10_mag_157,0,0,0,0,1,0,0
L_crispatus_Chicken_14_mag_17,0,0,0,0,1,0,0
L_crispatus_Chicken_19_mag_104,0,0,0,0,1,0,0
L_crispatus_Chicken_6_mag_147,0,0,0,0,1,0,0
L_crispatus_D31t1_170403_E4,0,0,0,1,0,0,0
L_crispatus_DC21,0,0,0,0,1,0,0
L_crispatus_DISK12,0,0,0,1,0,0,0
L_crispatus_DSM_20584,0,0,0,1,0,0,0
L_crispatus_DSM_29598,1,0,0,0,0,0,0
L_crispatus_DZD_CM_01_S769-bin_1,0,0,0,1,0,0,0
L_crispatus_DZD_CM_02_S770-bin_1,0,0,0,1,0,0,0
L_crispatus_DZD_CM_03_S771-bin_1,0,0,0,1,0,0,0
L_crispatus_DZD_CM_04_S772-bin_1,0,0,0,1,0,0,0
L_crispatus_DZD_CM_05_S773-bin_1,0,0,0,1,0,0,0
L_crispatus_DZD_CM_11_S779-bin_1,0,0,0,1,0,0,0
L_crispatus_DZD_CM_13_S781-bin_1,0,0,0,1,0,0,0
L_crispatus_DZD_CM_15_S783-bin_1,0,0,0,1,0,0,0
L_crispatus_DZD_CM_19_S787-bin_1,0,0,0,1,0,0,0
L_crispatus_DZD_CM_21_S789-bin_1,0,0,0,1,0,0,0
L_crispatus_DZD_CM_22_S790-bin_1,0,0,0,1,0,0,0
L_crispatus_DZD_CM_23_S791-bin_1,0,0,0,1,0,0,0
L_crispatus_DZD_CM_24_S792-bin_1,0,0,0,1,0,0,0
L_crispatus_DZD_CM_25_S793-bin_3,0,0,0,1,0,0,0
L_crispatus_DZD_CM_26_S794-bin_2,0,0,0,1,0,0,0
L_crispatus_DZD_CM_27_S795-bin_1,0,0,0,1,0,0,0
L_crispatus_DZD_CM_30_S798-bin_2,0,0,0,1,0,0,0
L_crispatus_DZD_CM_31_S799-bin_2,0,0,0,1,0,0,0
L_crispatus_DZD_CM_32_S800-bin_1,0,0,0,1,0,0,0
L_crispatus_DZD_CM_40_S808-bin_1,0,0,0,1,0,0,0
L_crispatus_F4_1630_1235_1_CBA14_S224-bin_1-SPLIT,0,0,0,1,0,0,0
L_crispatus_F4_1630_1235_1_MRS7_S268-bin_1-SPLIT,0,0,0,1,0,0,0
L_crispatus_FDAARGOS_743,0,0,0,1,0,0,0
L_crispatus_JKR_P1_01_A01_S673_001-bin_1,0,0,0,1,0,0,0
L_crispatus_JKR_P1_03_C01_S675_001-bin_1,0,0,0,1,0,0,0
L_crispatus_JKR_P1_05_E01_S677_001-bin_1,0,0,0,1,0,0,0
L_crispatus_JKR_P1_06_F01_S678_001-bin_1,0,0,0,1,0,0,0
L_crispatus_JKR_P1_07_G01_S679_001-bin_1,0,0,0,1,0,0,0
L_crispatus_JKR_P1_08_H01_S680_001-bin_1,0,0,0,1,0,0,0
L_crispatus_JKR_P1_09_A02_S681_001-bin_1,0,0,0,1,0,0,0
