"Gene","L_acetotolerans_BM-LA14527","L_acetotolerans_CN247","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p"
"L_helveticus_CNRZ32_01183","","","65","23","40","878","61.904761904761905","97.44728079911211","62.03260869565217","2.3905472134548533e-54","5.977563307243861e-50","5.977563307243861e-50"
"L_helveticus_IMAU60210_01240","","","68","35","37","866","64.76190476190476","96.11542730299666","45.47335907335907","4.988816958340095e-52","1.2474536804329409e-47","6.237268402164704e-48"
"L_helveticus_DLBSA202_01852","","","65","29","40","872","61.904761904761905","96.78135405105438","48.86206896551724","3.1477338199357085e-51","7.870908416749239e-47","2.623636138916413e-47"
"L_helveticus_IMAU30046_01121","","","68","38","37","863","64.76190476190476","95.78246392896781","41.738264580369844","1.0081505156997734e-50","2.5208803645072833e-46","6.302200911268208e-47"
"L_delbrueckii_subsp_sunkii_CIP_101810_00936/0.1","","","67","36","38","865","63.8095238095238","96.00443951165371","42.364766081871345","2.1509966079032276e-50","5.3785670180620205e-46","1.075713403612404e-46"
"L_helveticus_IMAU30078_01831","","","69","42","36","859","65.71428571428571","95.338512763596","39.20039682539682","2.924090323834448e-50","7.311687854748037e-46","1.2186146424580062e-46"
"L_helveticus_CNRZ32_00214","","","67","37","38","864","63.8095238095238","95.89345172031076","41.172119487908965","5.795596875564346e-50","1.4491889987348645e-45","2.0702699981926634e-46"
"L_helveticus_IMAU40088_01124","","","68","40","37","861","64.76190476190476","95.56048834628191","39.55945945945946","6.8754426541912995e-50","1.7192044356805344e-45","2.149005544600668e-46"
"L_helveticus_FAM13019_01184","","","68","41","37","860","64.76190476190476","95.44950055493896","38.5497692814766","1.753717488118674e-49","4.3851705790407446e-45","4.872411754489716e-46"
"L_crispatus_Mitchell_12_29_17_C05_S611-bin_1_00457","","","69","45","36","856","65.71428571428571","95.00554938956715","36.45925925925926","4.388814269196578e-49","1.0974230080126043e-44","9.976572800114585e-46"
"L_helveticus_IMAU20035_01121","","","69","45","36","856","65.71428571428571","95.00554938956715","36.45925925925926","4.388814269196578e-49","1.0974230080126043e-44","9.976572800114585e-46"
"L_helveticus_NBIMCC_8269_179_01973","","","68","43","37","858","64.76190476190476","95.22752497225305","36.67127592708988","1.0912651606036657e-48","2.7287085340894663e-44","2.2739237784078885e-45"
"L_helveticus_IMAU30049_01963","","","65","35","40","866","61.904761904761905","96.11542730299666","40.207142857142856","1.772771602732184e-48","4.4328153926318264e-44","3.409857994332174e-45"
"L_gallinarum_Chicken_14_mag_96_00889","","","70","50","35","851","66.66666666666666","94.45061043285239","34.04","2.1454254548527728e-48","5.364636349859359e-44","3.587680372829344e-45"
"L_helveticus_LZ-R-5_00734/2/0.1","","","63","30","42","871","60.0","96.67036625971143","43.55","2.1521777881399784e-48","5.381520559244016e-44","3.587680372829344e-45"
"L_helveticus_IMAU30038_00449","","","61","26","44","875","58.0952380952381","97.11431742508324","46.65646853146853","5.412179449759873e-48","1.3533154714124562e-43","8.458221696327851e-45"
"L_kefiranofaciens_1207_00741","","","60","24","45","877","57.14285714285714","97.33629300776914","48.72222222222222","7.618040877778834e-48","1.9048911214885974e-43","1.1205241891109396e-44"
"L_helveticus_IMAU10142_01292","","","65","37","40","864","61.904761904761905","95.89345172031076","37.945945945945944","1.2545124056543412e-47","3.13690827033868e-43","1.7427268168548223e-44"
"L_gallinarum_HFD4_01776","","","66","40","39","861","62.857142857142854","95.56048834628191","36.426923076923075","1.483120835116206e-47","3.7085436482080735e-43","1.9518650780042491e-44"
"L_intestinalis_A49_41_LA_DSS_01111","","","60","25","45","876","57.14285714285714","97.2253052164262","46.72","2.4658866318796957e-47","6.165949523015179e-43","3.0829747615075895e-44"
"L_gallinarum_HFD4_01956","","","62","30","43","871","59.04761904761905","96.67036625971143","41.862015503875966","3.101803178936124e-47","7.756058848929778e-43","3.6933613566332274e-44"
"L_gallinarum_HFD4_00625","","","68","47","37","854","64.76190476190476","94.78357380688124","33.393904542840716","3.581072866088932e-47","8.954472701655374e-43","4.0285710236913886e-44"
