"Gene","L_acetotolerans_BM-LA14527","L_acetotolerans_CN247","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p"
"L_helveticus_LZ-R-5_00841","","","93","255","625","33","12.952646239554316","11.458333333333332","0.019256470588235295","1.1966571239618066e-118","2.9922411384664973e-114","2.9922411384664973e-114"
"L_amylovorus_PMRA3_01712","","","87","242","631","46","12.116991643454039","15.972222222222221","0.026207908213382928","9.472587403058576e-108","2.3686204801347967e-103","1.1843102400673983e-103"
"L_delbrueckii_subsp_lactis_1_01226/0.1","1020_g_914","1020_g_2480","45","212","673","76","6.267409470752089","26.38888888888889","0.0239703944601755","1.0458021579713456e-104","2.61502829600735e-100","8.716760986691167e-101"
"L_helveticus_IMAU60066_00288","","","80","233","638","55","11.142061281337048","19.09722222222222","0.02959893443836022","1.3040518945527442e-102","3.260781762329137e-98","8.151954405822843e-99"
"L_helveticus_LZ-R-5_00729","","","79","230","639","58","11.002785515320335","20.13888888888889","0.031176430564060692","2.741034923594209e-100","6.85395782644732e-96","1.370791565289464e-96"
"L_gallinarum_HFD4_00891","","","43","205","675","83","5.988857938718663","28.819444444444443","0.02579223125564589","7.040399543363767e-100","1.7604519058181097e-95","2.9340865096968496e-96"
"L_crispatus_MHKL_MAG_00003_00418/0.1","","","69","223","649","65","9.610027855153204","22.569444444444446","0.030989380005113074","2.021755713539738e-99","5.0554001617061154e-95","7.222000231008737e-96"
"L_delbrueckii_MGYG_HGUT_01369_00392","","","79","229","639","59","11.002785515320335","20.48611111111111","0.03185244411642099","2.4153928988026356e-99","6.03968994345599e-95","7.549612429319988e-96"
"uncultured_L_sp_Chicken_7_mag_102_00763","","","80","229","638","59","11.142061281337048","20.48611111111111","0.03230619704042381","8.544833824746332e-99","2.1366356978778205e-94","2.3740396643086893e-95"
"L_delbrueckii_subsp_lactis_FAM_21748_01688","","","82","229","636","59","11.420612813370473","20.48611111111111","0.033217983576391746","1.0400420849724575e-97","2.60062523347363e-93","2.60062523347363e-94"
"L_acidophilus_JBNU_C5_00943","","","80","227","638","61","11.142061281337048","21.180555555555554","0.03369560714236394","6.257986746173968e-97","1.5648095858808007e-92","1.422554168982546e-93"
"L_delbrueckii_subsp_bulgaricus_CIRM_BIA_860_01388","","","80","225","638","63","11.142061281337048","21.875","0.03510971786833856","4.299551226321207e-95","1.0751027841416178e-90","8.959189867846814e-92"
"L_helveticus_IMAU80627_01087","","","78","221","640","67","10.86350974930362","23.26388888888889","0.036948529411764706","1.440865728967276e-92","3.602884755282674e-88","2.771449811755903e-89"
"L_sp_LAC3_00696","1020_g_1322","1020_g_1486","160","256","558","32","22.284122562674096","11.11111111111111","0.035842293906810034","6.512547384167993e-89","1.6284624734112066e-84","1.1631874810080048e-85"
"L_delbrueckii_subsp_bulgaricus_Lb1-GS-1_01198","1020_g_1324","1020_g_1484","160","255","558","33","22.284122562674096","11.458333333333332","0.03710731604469745","7.186813156440709e-88","1.797062629767999e-83","1.198041753178666e-84"
"L_crispatus_1D_01289","1020_g_347","1020_g_2499","76","213","642","75","10.584958217270195","26.041666666666668","0.041683120530033785","1.0688579342555e-86","2.6726792646058776e-82","1.6704245403786735e-83"
"L_delbrueckii_subsp_bulgaricus_FAM_22166_01354","","","76","212","642","76","10.584958217270195","26.38888888888889","0.04243813554340798","7.448200894337662e-86","1.8624226336291324e-81","1.0955427256641955e-82"
"L_helveticus_NWC_2_3_02421","1020_g_1323","1020_g_1485","160","253","558","35","22.284122562674096","12.152777777777777","0.03966736084548146","8.013778655648871e-86","2.0038453528450003e-81","1.1132474182472224e-82"
"L_delbrueckii_TS1-06_00951","1020_g_144","1020_g_1974","178","258","540","30","24.79108635097493","10.416666666666668","0.03832902670111973","3.3398445374224368e-84","8.351281265824803e-80","4.39541119253937e-81"
"L_delbrueckii_subsp_lactis_CIRM_BIA_1368_00635","","","111","229","607","59","15.459610027855152","20.48611111111111","0.04711409106278282","1.5548728157236354e-83","3.8879594757169505e-79","1.853023809620344e-80"
"L_delbrueckii_subsp_lactis_NCIMB_702469_00814","1020_g_1325","1020_g_1483","168","254","550","34","23.398328690807798","11.805555555555555","0.04088761632068719","1.5562287543302228e-83","3.891350000202722e-79","1.853023809620344e-80"
"L_delbrueckii_ME-783_00782","","","47","183","671","105","6.545961002785515","36.45833333333333","0.04018958735432802","3.58635458916317e-79","8.967679650202506e-75","4.076218022819321e-76"
