"Gene","L_acetotolerans_BM-LA14527","L_acetotolerans_CN247","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p"
"L_gallinarum_HFD4_00891","","","108","140","10","748","91.52542372881356","84.23423423423422","57.70285714285714","1.4133349772736611e-62","3.5340441106727895e-58","3.5340441106727895e-58"
"L_sp_LAC2_01554","","","93","72","25","816","78.8135593220339","91.8918918918919","42.16","1.3634255924942222e-61","3.4092456940318025e-57","1.7046228470159013e-57"
"L_helveticus_IMAU80627_01087","","","113","186","5","702","95.76271186440678","79.05405405405406","85.29677419354839","2.5689640922083924e-60","6.423694712567086e-56","2.1412315708556954e-56"
"uncultured_L_sp_Chicken_14_mag_2_00602","","","107","145","11","743","90.67796610169492","83.67117117117117","49.84388714733542","6.464933740052509e-60","1.6165566817001299e-55","4.0413917042503246e-56"
"L_delbrueckii_subsp_lactis_NWC_1_2_01394","","","96","94","22","794","81.35593220338984","89.41441441441441","36.85880077369439","2.0643241976856407e-58","5.1618426563129444e-54","1.0323685312625889e-54"
"L_helveticus_IMAU10031_01663","","","92","79","26","809","77.96610169491525","91.1036036036036","36.23563777994158","5.179375605612818e-58","1.295102870183485e-53","2.1585047836391416e-54"
"L_acidophilus_JBNU_C5_00943","","","112","195","6","693","94.91525423728814","78.04054054054053","66.33846153846154","6.775544534802291e-57","1.694224910927313e-52","2.4203213013247326e-53"
"L_delbrueckii_MGYG_HGUT_01369_00392","","","112","196","6","692","94.91525423728814","77.92792792792793","65.9047619047619","1.0556937384651638e-56","2.639762193032142e-52","3.2997027412901775e-53"
"L_helveticus_LZ-R-5_00729","","","112","197","6","691","94.91525423728814","77.81531531531532","65.47546531302876","1.641814305164427e-56","4.10535667006365e-52","4.1053566700636496e-53"
"uncultured_L_sp_Chicken_7_mag_102_00763","","","112","197","6","691","94.91525423728814","77.81531531531532","65.47546531302876","1.641814305164427e-56","4.10535667006365e-52","4.1053566700636496e-53"
"L_crispatus_MHKL_MAG_00003_00418/0.1","","","110","182","8","706","93.22033898305084","79.5045045045045","53.33791208791209","2.3476202841712056e-56","5.8702245205701e-52","5.336567745972818e-53"
"L_delbrueckii_subsp_lactis_FAM_21748_01688","","","112","199","6","689","94.91525423728814","77.59009009009009","64.62981574539363","3.949114126978163e-56","9.874759874508897e-52","8.228966562090747e-53"
"L_helveticus_IMAU60066_00288","","","112","201","6","687","94.91525423728814","77.36486486486487","63.80099502487562","9.430249353174667e-56","2.3580338507613257e-51","1.8138721928933276e-52"
"L_delbrueckii_subsp_bulgaricus_CIRM_BIA_860_01388","","","111","194","7","694","94.0677966101695","78.15315315315316","56.726067746686304","1.5951720223226427e-55","3.988727641817768e-51","2.849091172726977e-52"
"L_helveticus_LZ-R-5_00841","","","115","233","3","655","97.45762711864407","73.76126126126125","107.76108726752504","4.997043277445087e-55","1.249510671525144e-50","8.33007114350096e-52"
"L_delbrueckii_subsp_lactis_FAM_21753_00581","","","98","117","20","771","83.05084745762711","86.82432432432432","32.28974358974359","1.1128741233686621e-54","2.7827417454833397e-50","1.7392135909270873e-51"
"L_amylovorus_PMRA3_01712","","","113","216","5","672","95.76271186440678","75.67567567567568","70.31111111111112","1.3300962695547334e-54","3.3259057220216107e-50","1.9564151306009474e-51"
"L_delbrueckii_QAULDN61_01143","","","89","79","29","809","75.42372881355932","91.1036036036036","31.427760803142732","2.1336790740640613e-54","5.335264524697185e-50","2.964035847053992e-51"
"L_delbrueckii_subsp_lactis_1_01226/0.1","1020_g_914","1020_g_2480","104","153","14","735","88.13559322033898","82.77027027027027","35.68627450980392","5.715155640480288e-54","1.429074667902096e-49","7.521445620537348e-51"
"L_delbrueckii_subsp_bulgaricus_VHProbi_R03_00884","","","88","81","30","807","74.57627118644068","90.87837837837837","29.224691358024693","1.2908726610333961e-52","3.227827088914007e-48","1.6139135444570034e-49"
"L_delbrueckii_subsp_bulgaricus_FAM_22166_01354","","","107","181","11","707","90.67796610169492","79.61711711711712","37.99547965846308","2.9477616373899672e-52","7.370877974293613e-48","3.509941892520768e-49"
"L_delbrueckii_L10_00126","","","74","39","44","849","62.71186440677966","95.6081081081081","36.61188811188811","8.786995987933859e-52","2.1971883467828613e-47","9.552992812099398e-49"
"L_delbrueckii_subsp_lactis_FAM_20544_00196","","","74","39","44","849","62.71186440677966","95.6081081081081","36.61188811188811","8.786995987933859e-52","2.1971883467828613e-47","9.552992812099398e-49"
"L_delbrueckii_ME-801_00554","","","71","32","47","856","60.16949152542372","96.3963963963964","40.409574468085104","1.2580290575468272e-51","3.1457016583958415e-47","1.3107090243316006e-48"
"L_nasalidis_YZ01_01871","","","74","40","44","848","62.71186440677966","95.4954954954955","35.654545454545456","2.3826665737518447e-51","5.957857767666487e-47","2.383143107066595e-48"
"L_delbrueckii_subsp_lactis_1_01430","","","65","21","53","867","55.08474576271186","97.63513513513513","50.63342318059299","1.0524456293741987e-50","2.6316402962501837e-46","9.914996470728271e-48"
"L_delbrueckii_subsp_bulgaricus_UBLB01_01728/33","","","76","47","42","841","64.40677966101694","94.7072072072072","32.37892603850051","1.0706054977391055e-50","2.6770490470966333e-46","9.914996470728271e-48"
"L_sp_UBA9489_00103/0.4","","","87","85","31","803","73.72881355932203","90.42792792792793","26.512713472485768","2.726329786240869e-50","6.817187630495292e-46","2.434709868034033e-47"
"L_sp_UBA10990_02136","","","99","141","19","747","83.89830508474576","84.12162162162163","27.604703247480405","2.8961233764327803e-50","7.241756502770167e-46","2.4971574147483336e-47"
"L_delbrueckii_subsp_bulgaricus_CIRM_BIA_864_00794","","","75","47","43","841","63.559322033898304","94.7072072072072","31.209797130133598","1.3615347759245162e-49","3.404517707199253e-45","1.1348392357330843e-46"
"L_delbrueckii_QAULDN14_00915","","","71","37","47","851","60.16949152542372","95.83333333333334","34.744680851063826","2.4711225609678606e-49","6.179041963700135e-45","1.993239343129076e-46"
"L_delbrueckii_subsp_delbrueckii_TUA4408L_00558","","","75","48","43","840","63.559322033898304","94.5945945945946","30.523255813953487","3.3216507542848357e-49","8.305787711089232e-45","2.595558659715385e-46"
"L_delbrueckii_subsp_bulgaricus_KW14_3_01904","","","64","22","54","866","54.23728813559322","97.52252252252252","46.65319865319865","5.000876791566427e-49","1.250469241731185e-44","3.789300732518742e-46"
"L_equicursoris_DSM_19284_01465/3","","","74","46","44","842","62.71186440677966","94.81981981981981","30.784584980237153","6.88410093603092e-49","1.7213694390545317e-44","5.062851291336858e-46"
"L_bombicola_L5-31_00752/0.1","","","75","50","43","838","63.559322033898304","94.36936936936937","29.232558139534884","1.9044505669625468e-48","4.762078642689848e-44","1.3605938979113851e-45"
"L_helveticus_IMAU50022_01621","","","100","156","18","732","84.7457627118644","82.43243243243244","26.068376068376068","2.689637654656655e-48","6.725438955468966e-44","1.8681774876302684e-45"
"L_delbrueckii_subsp_lactis_NCIMB_700280_00937","","","79","63","39","825","66.94915254237289","92.9054054054054","26.526251526251528","3.176578748212076e-48","7.943035159904297e-44","2.1467662594335936e-45"
