"Gene","L_acetotolerans_BM-LA14527","L_acetotolerans_CN247","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p"
"L_bombicola_L5-31_00818","","","18","21","0","967","100.0","97.8744939271255","inf","4.177482364598899e-28","1.0445794652679548e-23","9.49617695698141e-24"
"L_bombicola_BI-4G_01492","","","18","22","0","966","100.0","97.77327935222672","inf","7.59542248108891e-28","1.899235391396282e-23","9.49617695698141e-24"
"L_sp_UBA10789_00978","","","18","28","0","960","100.0","97.16599190283401","inf","1.8884362586635535e-26","4.722034864788216e-22","1.574011621596072e-22"
"L_sp_UBA10721_00177","","","18","34","0","954","100.0","96.5587044534413","inf","2.858625399339071e-25","7.147992811047347e-21","1.7869982027618368e-21"
"L_sp_W8086_00799","","","14","5","4","983","77.77777777777779","99.49392712550608","688.1","3.0656472587388378e-24","7.665650970476463e-20","1.5331301940952926e-20"
"L_apis_ESL0185_01225","","","13","3","5","985","72.22222222222221","99.69635627530364","853.6666666666666","2.946291281092306e-23","7.367201348371312e-19","1.1919690587161765e-19"
"L_taiwanensis_114f_00612/4/0.2","","","18","47","0","941","100.0","95.24291497975709","inf","3.3368459952062534e-23","8.343783411013236e-19","1.1919690587161765e-19"
"L_kullabergensis_ESL0186_01769","","","17","35","1","953","94.44444444444444","96.45748987854252","462.8857142857143","1.405381921326497e-22","3.514157494276906e-18","4.0254894910981204e-19"
"L_mulieris_MHKL_MAG_00210_00619/0.1","","","15","15","3","973","83.33333333333334","98.48178137651821","324.3333333333333","1.609873821674913e-22","4.02548949109812e-18","4.0254894910981204e-19"
"L_sp_W8086_00083","","","15","15","3","973","83.33333333333334","98.48178137651821","324.3333333333333","1.609873821674913e-22","4.02548949109812e-18","4.0254894910981204e-19"
"L_acidophilus_JBNU_C5_01969/2/0.1","","","15","16","3","972","83.33333333333334","98.38056680161942","303.75","3.110151928494957e-22","7.776934897201639e-18","6.480779081001366e-19"
"L_panisapium_ESL0409_01227","","","15","16","3","972","83.33333333333334","98.38056680161942","303.75","3.110151928494957e-22","7.776934897201639e-18","6.480779081001366e-19"
"L_sp_W8086_00542","1020_g_148","1020_g_1546","17","42","1","946","94.44444444444444","95.74898785425101","382.9047619047619","1.7648592643565955e-21","4.413030590523667e-17","3.394638915787436e-18"
"L_bombicola_BI-4G_00635","1020_g_1363","1020_g_2314","16","29","2","959","88.88888888888889","97.06477732793523","264.55172413793105","2.005283379574106e-21","5.0142110906250516e-17","3.581579350446466e-18"
"L_acetotolerans_UBA10954_00965/0.1","1020_g_145","1020_g_1543","17","44","1","944","94.44444444444444","95.54655870445345","364.72727272727275","3.407258280642365e-21","8.519849330746233e-17","5.6798995538308216e-18"
"L_sp_F5_bin5_00832/2","","","14","14","4","974","77.77777777777779","98.582995951417","243.5","1.0220664103564875e-20","2.555677059096397e-16","1.597298161935248e-17"
"L_crispatus_Chicken_19_mag_104_01818/0.1","1020_g_82","1020_g_1634","18","70","0","918","100.0","92.91497975708502","inf","1.6202114545223314e-20","4.05133874203309e-16","2.3831404364900528e-17"
"L_sp_W8093_00430/0.1","1020_g_731","1020_g_1987","18","71","0","917","100.0","92.81376518218623","inf","2.0309692880632042e-20","5.078438704802042e-16","2.821354836001134e-17"
"L_kullabergensis_ESL0186_01622","","","15","25","3","963","83.33333333333334","97.46963562753037","192.6","4.0556204151096766e-20","1.0141078847981747e-15","5.337409919990393e-17"
"L_crispatus_MHKL_MAG_00264_00309","","","14","17","4","971","77.77777777777779","98.27935222672065","199.91176470588235","6.679098565564585e-20","1.6701085963194246e-15","8.350542981597123e-17"
"L_delbrueckii_subsp_lactis_FAM_22093_00106","","","0","905","18","83","0.0","8.400809716599191","0.0","2.499734029021186e-19","6.250584939567476e-15","2.976469018841655e-16"
"L_mulieris_MHKL_MAG_00236_00544","","","18","84","0","904","100.0","91.49797570850203","inf","3.035391320954297e-19","7.58999599804622e-15","3.4499981809301e-16"
"L_crispatus_0795_578_1_1_MRSI8_S902-bin_1_01687","1020_g_657","1020_g_1728","0","903","18","85","0.0","8.60323886639676","0.0","3.678180071274031e-19","9.197289268220715e-15","3.832203861758631e-16"
"L_crispatus_MHKL_MAG_00264_01151","","","0","903","18","85","0.0","8.60323886639676","0.0","3.678180071274031e-19","9.197289268220715e-15","3.832203861758631e-16"
"L_sp_S2-2_01089","","","12","7","6","981","66.66666666666666","99.2914979757085","280.2857142857143","4.2828128214788073e-19","1.0709173460107758e-14","4.283669384043103e-16"
"L_sp_W8086_00481","1020_g_1332","1020_g_1838","15","31","3","957","83.33333333333334","96.86234817813765","154.3548387096774","5.06994902353487e-19","1.2677407533348941e-14","4.875925974364977e-16"
"L_delbrueckii_subsp_bulgaricus_CBC-LB8_01640","","","18","87","0","901","100.0","91.19433198380567","inf","5.368314137705484e-19","1.3423469501332562e-14","4.971655370863912e-16"
"L_hominis_MGBC122240_01039","","","0","900","18","88","0.0","8.906882591093117","0.0","6.46637839314524e-19","1.6169179172059672e-14","5.774706847164168e-16"
"L_bombicola_OCC3_00718","1020_g_1333","1020_g_1839","15","32","3","956","83.33333333333334","96.76113360323887","149.375","7.424721101772679e-19","1.8565515114982582e-14","6.401901763787098e-16"
"L_helsingborgensis_ESL0183_00732","","","13","14","5","974","72.22222222222221","98.582995951417","180.88571428571427","1.0019066258638846e-18","2.5052675179726435e-14","8.350891726575478e-16"
"L_sp_W8086_00467","","","15","35","3","953","83.33333333333334","96.45748987854252","136.14285714285714","2.2039674987497996e-18","5.5110207306238737e-14","1.7777486227818947e-15"
"L_sp_UBA11204_01508","","","15","36","3","952","83.33333333333334","96.35627530364373","132.22222222222223","3.113125254784518e-18","7.784369699588688e-14","2.432615531121465e-15"
"L_sp_F5_bin3_01226","","","13","16","5","972","72.22222222222221","98.38056680161942","157.95","3.357735381546007e-18","8.39601732155579e-14","2.5442476731987244e-15"
"L_sp_W8086_01324","","","11","5","7","983","61.111111111111114","99.49392712550608","308.9428571428571","5.313347176081394e-18","1.3286024613791525e-13","3.907654298173978e-15"
"L_sp_W8086_00604","","","14","26","4","962","77.77777777777779","97.36842105263158","129.5","5.646241188152094e-18","1.4118426090974312e-13","3.921785025270643e-15"
"L_sp_W8093_01661/2","","","14","26","4","962","77.77777777777779","97.36842105263158","129.5","5.646241188152094e-18","1.4118426090974312e-13","3.921785025270643e-15"
"L_delbrueckii_subsp_lactis_CIRM_BIA_1374_00529/0.1","","","12","12","6","976","66.66666666666666","98.78542510121457","162.66666666666666","2.2346075593689722e-17","5.587636202202115e-13","1.5101719465411122e-14"
"L_crispatus_MHKL_MAG_00107_00472/2","","","11","7","7","981","61.111111111111114","99.2914979757085","220.22448979591837","3.8211427511162503e-17","9.554767449166183e-13","2.5144124866226797e-14"
"L_sp_wkB8_01322","","","14","31","4","957","77.77777777777779","96.86234817813765","108.04838709677419","3.982145046945432e-17","9.957353689887053e-13","2.5531676127915522e-14"
"L_helveticus_LZ-R-5_01466","1020_g_893","1020_g_2337","0","872","18","116","0.0","11.740890688259109","0.0","6.145688043243018e-17","1.5367292952129166e-12","3.8121898710714266e-14"
"L_helveticus_NWC_2_4_01834","","","16","63","2","925","88.88888888888889","93.62348178137651","117.46031746031746","6.250741240309078e-17","1.562997847139285e-12","3.8121898710714266e-14"
"L_delbrueckii_subsp_sunkii_JCM_17838_01851","","","15","46","3","942","83.33333333333334","95.34412955465586","102.3913043478261","6.686369725196088e-17","1.6719267497852819e-12","3.980777975679243e-14"
"L_sp_W8093_00430","","","0","871","18","117","0.0","11.842105263157894","0.0","7.091178511434247e-17","1.7731491867841334e-12","4.1236027599631014e-14"
"L_helveticus_UC1035_02028","1020_g_742","1020_g_1998","0","870","18","118","0.0","11.94331983805668","0.0","8.17288370809371e-17","2.043629571208832e-12","4.644612661838255e-14"
"L_intestinalis_DSM_6629_01736","","","0","869","18","119","0.0","12.044534412955466","0.0","9.409118218561664e-17","2.3527500105513443e-12","5.114673935981183e-14"
"uncultured_L_sp_Chicken_10_mag_88_01370","1020_g_769","1020_g_1791","0","869","18","119","0.0","12.044534412955466","0.0","9.409118218561664e-17","2.3527500105513443e-12","5.114673935981183e-14"
"L_intestinalis_DSM_6629_01820","1020_g_741","1020_g_1997","0","868","18","120","0.0","12.145748987854251","0.0","1.0820485951345918e-16","2.7056625121340467e-12","5.756728749221377e-14"
"L_apis_R-53131_01591","","","12","15","6","973","66.66666666666666","98.48178137651821","129.73333333333332","1.412373203516815e-16","3.531639195393796e-12","6.791613837295761e-14"
"L_bombicola_R-53102_00388","","","12","15","6","973","66.66666666666666","98.48178137651821","129.73333333333332","1.412373203516815e-16","3.531639195393796e-12","6.791613837295761e-14"
"L_gasseri_1001285H_161024_C10_01392/0.1","","","12","15","6","973","66.66666666666666","98.48178137651821","129.73333333333332","1.412373203516815e-16","3.531639195393796e-12","6.791613837295761e-14"
"L_helsingborgensis_ESL0183_01169","","","12","15","6","973","66.66666666666666","98.48178137651821","129.73333333333332","1.412373203516815e-16","3.531639195393796e-12","6.791613837295761e-14"
"L_sp_F5_bin3_01456","","","12","15","6","973","66.66666666666666","98.48178137651821","129.73333333333332","1.412373203516815e-16","3.531639195393796e-12","6.791613837295761e-14"
"L_helveticus_IMAU10029_01931","","","18","125","0","863","100.0","87.34817813765183","inf","2.14215595416657e-16","5.356460963393508e-12","1.0106530119610392e-13"
"L_jensenii_0795_578_1_1_MRSIHK11_S855-bin_1_01324","1020_g_657","1020_g_1728","0","862","18","126","0.0","12.753036437246964","0.0","2.448178233333224e-16","6.121669672449726e-12","1.0974037438743522e-13"
"L_nasalidis_YZ03_00405","","","12","16","6","972","66.66666666666666","98.38056680161942","121.5","2.457692847709007e-16","6.145460965696372e-12","1.0974037438743522e-13"
"L_sp_M0403_00513","","","12","16","6","972","66.66666666666666","98.38056680161942","121.5","2.457692847709007e-16","6.145460965696372e-12","1.0974037438743522e-13"
"L_apis_ESL0185_00848","","","18","128","0","860","100.0","87.04453441295547","inf","3.188234079703761e-16","7.972179316299255e-12","1.3986279502279394e-13"
